id_client,predicted_prob
1,2.0478539547506886e-09
2,1.590977185058361e-08
3,2.9214106545648543e-08
4,3.5857962624575953e-08
5,2.0478539547506886e-09
6,1.1869605599828354e-07
7,3.1880630592789385e-08
8,2.9214106545648543e-08
9,1.9807820322684254e-06
10,1.2062366811416135e-07
11,1.5762935061561972e-07
12,2.7556313057660768e-08
13,2.0478539547506886e-09
14,1.1869605599828354e-07
15,1.750115426332034e-08
16,1.0342402270622812e-07
17,2.9443889207738015e-07
18,2.0478539547506886e-09
19,1.200539413653067e-07
20,1.2874269291349504e-08
21,1.2963188205445403e-07
22,5.382190212316907e-07
23,1.1869605599828354e-07
24,5.66166637678754e-07
25,2.92933163076485e-08
26,5.382190212316907e-07
27,3.928906096063847e-08
28,2.8475236787870813e-07
29,1.590977185058361e-08
30,4.839601202105518e-07
31,3.907687128962745e-08
32,2.0478539547506886e-09
33,2.0478539547506886e-09
34,2.0478539547506886e-09
35,1.0384012246109063e-08
36,2.0478539547506886e-09
37,3.3875185440710885e-08
38,2.6256868000020697e-07
39,4.060436744575667e-09
40,3.832835757217145e-09
41,9.38599324592048e-09
42,2.0478539547506886e-09
43,2.0478539547506886e-09
44,1.1869605599828354e-07
45,1.1869605599828354e-07
46,5.382190212316907e-07
47,1.1869605599828354e-07
48,9.36061331631146e-09
49,1.0073519222631432e-06
50,2.0478539547506886e-09
51,1.590977185058361e-08
52,2.0478539547506886e-09
53,1.0239854141188568e-07
54,2.3631507705947878e-08
55,1.590977185058361e-08
56,5.9452843893641705e-08
57,3.832835757217145e-09
58,1.1869605599828354e-07
59,3.4179676016084692e-09
60,2.1810997053555943e-08
61,2.192876642377568e-07
62,4.858059022750863e-08
63,2.9443889207738015e-07
64,3.832835757217145e-09
65,2.816925130393682e-08
66,5.966891214960836e-08
67,2.0478539547506886e-09
68,1.586675148220525e-08
69,2.1886524346603867e-07
70,1.1581267076757612e-08
71,9.38599324592048e-09
72,6.227956620932257e-08
73,5.912052249786093e-07
74,1.8649400172892398e-07
75,6.539929897016177e-09
76,4.060436744575667e-09
77,2.389701907761009e-08
78,9.40913597230361e-08
79,2.2122244787664443e-07
80,3.8665330919015065e-06
81,4.521646162811533e-08
82,1.9091842148318975e-08
83,1.4009107078273409e-08
84,2.0478539547506886e-09
85,5.4477234430884814e-08
86,2.0478539547506886e-09
87,2.9135110968555154e-08
88,2.0478539547506886e-09
89,1.354752974221343e-06
90,1.1869605599828354e-07
91,1.8491932480641808e-08
92,9.59190067019775e-07
93,1.5677803690910183e-07
94,2.0478539547506886e-09
95,5.7975724011466054e-08
96,2.1833204934687618e-07
97,1.3035213920418103e-07
98,2.0478539547506886e-09
99,2.4590448961218637e-07
100,1.8627071707034023e-08
101,1.5207035094475515e-07
102,2.091799405499441e-07
103,1.7676217873843069e-07
104,1.1869605599828354e-07
105,2.0478539547506886e-09
106,2.0478539547506886e-09
107,1.8677978497695668e-07
108,4.0793038460050855e-07
109,6.521244437795188e-10
110,2.0478539547506886e-09
111,2.4590448961218637e-07
112,2.4590448961218637e-07
113,5.382190212316907e-07
114,9.013955608296734e-08
115,1.009106902499301e-07
116,9.607115438606806e-08
117,2.323919779585259e-07
118,5.382190212316907e-07
119,5.382190212316907e-07
120,5.070610436878527e-08
121,1.026365189812577e-07
122,2.0478539547506886e-09
123,2.3631507705947878e-08
124,1.0073519222631432e-06
125,3.884276345471747e-08
126,1.9608206690665088e-07
127,7.886041863975894e-08
128,2.631287345328906e-09
129,6.928283218638379e-09
130,2.0478539547506886e-09
131,2.0478539547506886e-09
132,5.382190212316907e-07
133,8.448111283557846e-08
134,1.5762935061561972e-07
135,6.340199120956406e-08
136,3.47882022483779e-07
137,1.5927146763895038e-07
138,1.4996867101304342e-07
139,1.869436166613705e-07
140,2.0478539547506886e-09
141,5.382190212316907e-07
142,1.0479963258844096e-07
143,2.003862088354338e-06
144,2.454307960194684e-07
145,1.1869605599828354e-07
146,5.382190212316907e-07
147,1.0073492501338814e-06
148,8.48308341114416e-08
149,2.2564982914682836e-08
150,5.382190212316907e-07
151,5.382190212316907e-07
152,1.590977185058361e-08
153,2.3631507705947878e-08
154,1.1869605599828354e-07
155,2.0478539547506886e-09
156,4.9566850137423706e-08
157,3.4179676016084692e-09
158,1.0384012246109063e-08
159,2.0478539547506886e-09
160,7.998177405075416e-08
161,3.072864930495268e-09
162,3.430304874829283e-08
163,2.7146686757161194e-08
164,4.904887495578001e-07
165,1.590977185058361e-08
166,2.6256868000020697e-07
167,1.0384012246109063e-08
168,1.563541057542578e-07
169,2.0478539547506886e-09
170,1.7838813042528568e-07
171,9.702091776505295e-08
172,3.6209329386340904e-09
173,1.8428185656966562e-07
174,2.4590448961218637e-07
175,1.590977185058361e-08
176,4.060436744575667e-09
